"","Taxon","community","family","ecology","oil.content","ratio","mass_50","p50","T50_F","T50_S","EHS_F","EHS_S","GDD","FDD","Snw"
"27","Neoschischkinia truncatula","Mediterranean","Poaceae","Strict alpine",3.265,6.33675715333823,4.716,44.62,6.8,8.8,83.4,75.8,1946.089338,12.25312041,30.46475771
"28","Pedicularis pyrenaica","Temperate","Orobanchaceae","Strict alpine",18.196,5.98324022346369,36.273,4.86,203.7,249.5,378.3,334,1232.6213,75.09459459,74.05405405
"29","Phalacrocarpum oppositifolium","Mediterranean","Asteraceae","Generalist",24.644,5.5666447800394,113.1,NA,40.3,82.1,451.7,278.6,1733.472444,7.804509132,25.90410959
"30","Phyteuma hemisphaericum","Mediterranean","Campanulaceae","Strict alpine",19.685,8.75414634146341,4.221,3.85,NA,284.5,NA,547,1743.689293,18.98809524,27.98136646
"31","Plantago alpina","Temperate","Plantaginaceae","Strict alpine",10.529,8.30232558139535,19.3,23.11,176,234.5,334.4,225.3,996.8454369,24.46103471,87.75638507
"32","Plantago holosteum","Mediterranean","Plantaginaceae","Generalist",8.591,7.40958788898234,44.045,27.925,8.1,8.4,100.1,71.4,2003.097489,30.30306799,18.65671642
"33","Salix breviserrata","Temperate","Salicaceae","Strict alpine",5.687,2.717843866171,4.14,NA,NA,NA,NA,NA,1001.556122,169.5873016,38.66666667
"34","Saxifraga conifera","Temperate","Saxifragaceae","Strict alpine",30.123,9.16260162601626,2.275,5.22,62.5,327.6,338.5,1284.7,1049.892839,44.33255814,81.34573643
"35","Saxifraga oppositifolia","Temperate","Saxifragaceae","Strict alpine",32.646,12.2100396301189,5.254,4.758,NA,NA,NA,NA,1037.807143,134.4,77.6
"36","Saxifraga paniculata","Temperate","Saxifragaceae","Strict alpine",17.18,10.1471571906355,3.464,NA,222,283.5,499.9,551.5,998.9583333,7.666666667,152.5
"37","Sedum anglicum","Mediterranean","Crassulaceae","Strict alpine",16.906,8.14821591948765,1.107,18.67,83.7,166.2,293.3,515.2,1649.449454,23.76092896,12.67213115
"38","Sedum brevifolium","Mediterranean","Crassulaceae","Generalist",12.364,7.6281276962899,0.639,14.63,75,84.9,352.6,240.6,2022.407959,16.17513714,20.06679574
"39","Sempervivum arachnoideum","Mediterranean","Crassulaceae","Generalist",24.046,8.09090909090909,2.615,NA,212.8,259.8,359.3,351,1714.835498,22.88434343,25.9030303
"40","Sesleria caerulea","Temperate","Poaceae","Generalist",1.299,2.45219192267863,40.92,NA,NA,NA,NA,NA,NA,NA,NA
"41","Silene acaulis","Temperate","Caryophyllaceae","Strict alpine",3.809,5.68002672010688,15,25.065,303.9,288,1601.5,692.5,761.3895918,51.61478934,93.00085985
"42","Silene ciliata","Mediterranean","Caryophyllaceae","Strict alpine",2.734,5.37882653061224,18.7,18.225,198.9,240.8,268.4,184.4,1506.826597,37.09015421,53.53024911
"43","Silene ciliata","Temperate","Caryophyllaceae","Strict alpine",3.202,5.54813359528487,17.9,24.78,210.9,255.8,404.3,296.9,890.7481445,58.06191806,134.3463687
"44","Solidago virgaurea","Mediterranean","Asteraceae","Generalist",15.593,7.44594594594595,33.455,4.97,14.9,235.3,174.4,305.6,2295.02381,6.916666667,3
"45","Spergula morisonii","Mediterranean","Caryophyllaceae","Strict alpine",5.602,6.13704496788009,9.736,34.48,167.8,36.2,1604.9,559.1,1799.339286,0.208333333,4.5
"46","Teesdalia conferta","Mediterranean","Brassicaceae","Generalist",7.963,8.60422670509126,96,8.12,NA,NA,NA,NA,1976.159184,0.047619048,8.142857143
"47","Thymus praecox","Mediterranean","Lamiaceae","Generalist",18.422,11.0760869565217,8.528,13.45,13.8,83.4,190.6,265.9,1966.766831,8.057471264,18.77586207
"48","Thymus praecox","Temperate","Lamiaceae","Generalist",18.307,11.7239185750636,5.84,15.39,121.8,275,344.7,459.2,1039.014729,38.09660523,101.4522684
"49","Veronica nummularia","Temperate","Plantaginaceae","Strict alpine",32.834,11.7213740458015,10.2,NA,NA,NA,NA,NA,770.0918367,10.98809524,156.6428571
