"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"108","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.1n7c",0.54,0.66,8.253
"109","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.1n9c",25.79,31.24,8.253
"110","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.2n6c",40.69,49.3,8.253
"111","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.3n3",0.16,0.2,8.253
"112","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.3n6",0,0,8.253
"113","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.4n3",0,0,8.253
"114","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C20.0",0.52,0.63,8.253
"115","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C20.1n9",4.31,5.22,8.253
"116","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C20.2n6",0,0,8.253
"117","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C22.0",0.15,0.18,8.253
"118","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C22.1n9",0,0,8.253
"119","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C22.2n6",0,0,8.253
"120","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C24.0",0.21,0.25,8.253
"121","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C12.0",0,0,3.372
"122","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C14.0",0.05,0.15,3.372
"123","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C15.0",0,0,3.372
"124","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C16.0",3.62,10.73,3.372
"125","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C16.1n7",0,0,3.372
"126","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C17.0",0.08,0.23,3.372
"127","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.0",0.8,2.36,3.372
"128","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.1n7c",0.21,0.63,3.372
"129","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.1n9c",20.75,61.56,3.372
"130","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.2n6c",5.82,17.27,3.372
"131","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.3n3",0.13,0.38,3.372
"132","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.3n6",0,0,3.372
"133","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C18.4n3",0,0,3.372
"134","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C20.0",0.09,0.26,3.372
"135","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C20.1n9",1.46,4.33,3.372
"136","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C20.2n6",0,0,3.372
"137","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C22.0",0.16,0.46,3.372
"138","Mediterranean","Luzucaes","Juncaceae","Luzula caespitosa","110821-03",2023,"C22.1n9",0.45,1.34,3.372
