ID.JUICE,Taxon_full,Taxon,family,Freq,Alpine,ecology,seed.oil,mean.value,Source
321,Murbeckiella boryi,Murbeckiella boryi,,10,Specialist.4.3,Specialist,,,
322,Myosotis alpestris,Myosotis alpestris,Boraginaceae,25,Specialist.4.4,Specialist,sp.level,29.5,Fadb
323,Myosotis sylvatica,Myosotis sylvatica,Boraginaceae,1,Casual,Generalist,sp.level,36.76666667,Fadb
324,Narcissus asturiensis,Narcissus asturiensis,Amaryllidaceae,6,Generalist,Generalist,,,
325,Narcissus bulbocodium,Narcissus bulbocodium,Amaryllidaceae,2,Casual,Generalist,sp.level,27.7,Fadb
326,Narcissus pseudonarcissus,Narcissus pseudonarcissus,Amaryllidaceae,3,Generalist,Generalist,,,
327,Nardus stricta,Nardus stricta,Poaceae,169,Generalist,Generalist,,,
328,Neoschischkinia truncatula subsp. durieui,Neoschischkinia truncatula,Poaceae,121,Generalist,Generalist,sp.level,3.265,Own data
329,Noccaea caerulescens,Noccaea caerulescens,,2,Casual,Generalist,,,
330,Oreochloa confusa,Oreochloa confusa,Poaceae,31,Generalist,Generalist,,,
331,Oreochloa disticha subsp. blanka,Oreochloa disticha,Poaceae,28,Specialist.4.3,Specialist,,,
332,Oreochloa seslerioides,Oreochloa seslerioides,Poaceae,6,Generalist,Generalist,,,
333,Ornithogalum concinnum,Ornithogalum concinnum,,2,Casual,Generalist,gen.level,6.3,
334,Oxytropis foucaudii,Oxytropis foucaudii,Fabaceae,6,Specialist.4.4,Specialist,gen.level,5.218181818,
335,Oxytropis halleri,Oxytropis halleri,Fabaceae,15,Specialist.4.4,Specialist,gen.level,5.218181818,
336,Oxytropis neglecta,Oxytropis neglecta,Fabaceae,36,Specialist.4.4,Specialist,gen.level,5.218181818,
337,Paronychia kapela subsp. serpyllifolia,Paronychia kapela,Caryophyllaceae,27,Generalist,Generalist,gen.level,9.5,
338,Paronychia polygonifolia,Paronychia polygonifolia,Caryophyllaceae,11,Specialist.4.3,Specialist,gen.level,9.5,
339,Pedicularis comosa,Pedicularis comosa,Orobanchaceae,1,Casual,Generalist,gen.level,19.6,
340,Pedicularis pyrenaica,Pedicularis pyrenaica,Orobanchaceae,59,Specialist.4.4,Specialist,gen.level,19.6,
341,Pedicularis schizocalyx,Pedicularis schizocalyx,Orobanchaceae,8,Generalist,Generalist,gen.level,19.6,
