year,code,ageing,seeds,D7,D14,D21,D28
2022,240821-02,15,40,2,13,2,0
2022,240821-02,30,43,0,0,0,0
2022,240821-04,0,25,25,0,0,0
2022,240821-04,2,42,41,0,0,0
2022,240821-04,10,42,41,0,0,0
2022,240821-04,15,42,40,0,0,0
2022,240821-04,30,42,7,11,0,0
2022,240821-07,0,25,24,0,0,0
2022,240821-07,2,41,41,0,0,0
2022,240821-07,10,42,39,0,0,0
2022,240821-07,15,42,38,0,0,0
2022,240821-07,30,41,31,0,0,0
2022,240821-08,0,25,10,11,NA,1
2022,240821-08,2,42,13,20,9,0
2022,240821-08,10,42,0,0,0,0
2022,240821-08,15,42,0,0,0,0
2022,240821-08,30,41,0,0,0,0
2022,240821-09,0,25,21,4,0,0
2022,240821-09,2,42,42,0,0,0
2022,240821-09,10,42,18,12,2,5
2022,240821-09,15,42,13,13,3,1
2022,240821-09,30,41,0,1,1,0
2022,240821-10,0,25,12,12,NA,1
2022,240821-10,2,39,8,22,2,0
2022,240821-10,10,41,0,0,0,0
2022,240821-10,15,42,0,0,0,0
2022,240821-10,30,42,0,0,0,0
2022,240821-11,0,25,7,7,NA,5
2022,240821-11,2,42,27,10,2,0
2022,240821-11,10,42,9,10,9,2
2022,240821-11,15,40,2,12,5,4
2022,240821-11,30,42,0,1,0,0
2022,250821-07,0,25,6,17,0,0
2022,250821-07,2,40,4,26,3,1
2022,250821-07,10,42,0,0,0,0
2022,250821-07,15,41,0,0,0,0
2022,250821-07,30,42,0,0,0,0
2022,280721-02,0,25,25,0,0,0
2022,280721-02,2,41,35,0,0,0
2022,280721-02,10,42,36,1,0,0
2022,280721-02,15,41,18,8,0,0
2022,280721-02,30,42,0,0,0,0
2022,300821-03,0,25,0,10,NA,14
2022,300821-03,2,42,7,21,2,3
2022,300821-03,10,40,0,19,11,3
2022,300821-03,15,42,0,20,12,4
2022,300821-03,30,41,0,0,5,9
2022,300821-05,0,25,24,0,0,0
2022,300821-05,2,42,42,0,0,0
2022,300821-05,10,41,37,1,0,0
2022,300821-05,15,39,33,0,0,0
2022,300821-05,30,29,20,0,0,0
2022,300821-07,0,25,20,0,0,0
2022,300821-07,2,37,24,1,1,0
2022,300821-07,10,42,30,1,0,0
2022,300821-07,15,42,18,5,0,0
2022,300821-07,30,42,3,2,1,0
2022,300821-08,0,25,0,18,NA,6
2022,300821-08,2,42,2,32,4,1
2022,300821-08,10,42,7,20,8,3
2022,300821-08,15,42,0,11,19,3
2022,300821-08,30,42,0,4,10,13
2022,300821-10,0,25,1,15,NA,7
2022,300821-10,2,36,20,12,0,1
2022,300821-10,10,36,18,12,5,0
2022,300821-10,15,36,8,21,2,2
2022,300821-10,30,42,0,9,6,2
2022,300821-11,0,25,1,8,NA,15
2022,300821-11,2,42,7,29,3,2
2022,300821-11,10,42,14,18,5,2
2022,300821-11,15,42,14,21,2,1
2022,300821-11,30,42,0,6,3,2
2022,300821-15,0,25,24,1,0,0
2022,300821-15,2,41,40,0,0,0
2022,300821-15,10,42,38,0,0,0
2022,300821-15,15,41,32,2,1,0
2022,300821-15,30,42,0,8,1,0
2022,300921-03,0,25,0,0,NA,21
2022,300921-03,2,41,0,0,7,2
2022,300921-03,10,42,0,0,0,0
2022,300921-03,15,42,0,0,0,0
2022,300921-03,30,42,0,0,0,0
2022,310821-04,0,25,0,12,NA,10
2022,310821-04,2,42,0,7,15,8
2022,310821-04,10,42,0,0,5,0
2022,310821-04,15,42,0,0,0,0
2022,310821-04,30,42,0,0,0,0
2022,310821-05,0,25,22,1,NA,1
2022,310821-05,2,42,39,0,0,0
2022,310821-05,10,42,39,0,0,0
2022,310821-05,15,33,30,0,0,0
2022,310821-05,30,35,15,0,0,0
2022,310821-08,0,25,6,13,NA,3
2022,310821-08,2,42,31,9,1,0
2022,310821-08,10,42,20,17,3,0
2022,310821-08,15,42,10,15,0,3
2022,310821-08,30,42,0,6,1,1
2022,310821-09,0,24,4,18,NA,1
2022,310821-09,2,41,30,11,0,0
2022,310821-09,10,40,27,12,0,0
2022,310821-09,15,40,26,12,1,0
2022,310821-09,30,41,6,12,1,1
2022,310821-10,0,25,5,17,NA,2
2022,310821-10,2,42,37,4,0,0
2022,310821-10,10,42,24,10,3,0
2022,310821-10,15,42,21,9,4,2
2022,310821-10,30,42,0,4,0,1
2022,310821-11,0,25,1,15,NA,7
2022,310821-11,2,42,6,24,4,4
2022,310821-11,10,42,0,20,14,1
2022,310821-11,15,42,0,11,21,2
2022,310821-11,30,41,0,1,1,1
2022,310821-13,0,25,0,0,NA,19
2022,310821-13,2,39,0,5,25,5
2022,310821-13,10,39,0,0,0,7
2022,310821-13,15,38,0,0,0,1
2022,310821-13,30,41,0,0,0,0
2024,010923-02,0,16,0,0,10,6
2024,010923-02,2,42,0,0,13,14
2024,010923-02,10,37,0,0,0,0
2024,010923-02,15,39,0,0,0,0
2024,010923-02,30,42,0,0,0,0
2024,040822-08,0,17,16,1,0,0
2024,040822-08,2,30,6,0,0,0
2024,040822-08,10,22,10,0,0,0
2024,040822-08,15,29,14,0,0,0
2024,040822-08,30,25,3,0,0,0
2024,070823-09,0,23,2,15,4,1
2024,070823-09,2,42,13,22,2,2
2024,070823-09,10,41,1,22,6,3
2024,070823-09,15,42,3,24,3,2
2024,070823-09,30,42,0,12,13,2
2024,070823-10,0,22,11,7,2,0
2024,070823-10,2,38,16,13,2,2
2024,070823-10,10,39,9,21,5,2
2024,070823-10,15,42,22,10,1,0
2024,070823-10,30,38,9,20,3,0
2024,090822-04,0,25,20,4,0,0
2024,090822-04,2,42,34,6,0,0
2024,090822-04,10,42,2,7,3,1
2024,090822-04,15,42,0,1,1,0
2024,090822-04,30,37,0,0,0,0
2024,120722-01,0,18,0,16,2,0
2024,120722-01,2,42,0,13,8,0
2024,120722-01,10,33,0,6,3,1
2024,120722-01,15,34,0,1,1,3
2024,120722-01,30,37,0,0,0,0
2024,120722-02,0,25,25,0,0,0
2024,120722-02,2,42,42,0,0,0
2024,120722-02,10,42,40,1,0,0
2024,120722-02,15,42,41,0,0,0
2024,120722-02,30,41,35,0,0,0
2024,210823-01,0,25,2,5,9,5
2024,210823-01,2,42,0,16,20,3
2024,210823-01,10,42,2,12,13,8
2024,210823-01,15,42,2,22,14,0
2024,210823-01,30,41,0,6,13,3
2024,210823-13,0,25,13,10,0,0
2024,210823-13,2,42,9,32,1,0
2024,210823-13,10,42,3,34,5,0
2024,210823-13,15,42,1,25,6,2
2024,210823-13,30,42,0,0,0,1
2024,230822-01,0,16,6,3,5,0
2024,230822-01,2,36,12,12,6,0
2024,230822-01,10,37,2,20,5,1
2024,230822-01,15,40,0,18,6,0
2024,230822-01,30,42,0,1,1,3
2024,230822-04,0,22,0,21,1,0
2024,230822-04,2,41,4,34,2,0
2024,230822-04,10,40,0,28,8,1
2024,230822-04,15,41,0,14,6,1
2024,230822-04,30,42,0,0,0,0
2024,310823-17,0,17,0,10,3,2
2024,310823-17,2,42,0,0,2,0
2024,310823-17,10,41,0,2,0,2
2024,310823-17,15,42,0,0,0,0
2024,310823-17,30,42,0,0,0,0
